Time	size	received	dropped
1	1	369	0
2	0	813	0
3	0	1370	0
4	0	2015	0
5	0	2747	0
6	0	3222	0
7	0	3829	0
8	0	4386	0
9	0	4837	0
10	0	5421	0
11	0	5862	0
12	0	6325	0
13	0	6917	0
14	0	7291	0
15	0	7782	0
16	0	8336	0
17	0	8759	0
18	0	9301	0
19	0	9942	0
20	0	10447	0
21	0	10983	0
22	0	11650	0
23	0	12145	0
24	0	12643	0
25	0	13267	0
26	0	13655	0
27	0	14166	0
28	0	14703	0
29	0	15103	0
30	0	15643	0
