Time	size	received	dropped
1	0	518	0
2	0	1032	0
3	0	1307	0
4	0	1657	0
5	0	1859	0
6	0	2243	0
7	0	2660	0
8	0	2941	0
9	0	3229	0
10	0	3422	0
11	0	3682	0
12	0	4035	0
13	0	4274	0
14	0	4480	0
15	0	5025	0
16	1	5794	0
17	0	6305	0
18	0	6823	0
19	0	7203	0
20	0	7667	0
21	0	8290	0
22	0	8559	0
23	0	9051	0
24	0	9630	0
25	0	10133	0
26	0	10697	0
27	0	11094	0
28	0	11401	0
29	0	11882	0
30	0	12392	0
