,amplitude_1,frequency_1,amplitude_2,frequency_2,amplitude_3,frequency_3,name,label,pred
3,0.14321886591340707,0.016666666666666666,0.10233239669271624,0.10999999999999999,0.10086061199927353,0.18333333333333332,Link_Error_0_range100-flw0-rtt,L,L
4,0.1563471072105518,2.867224084092094,0.06573324616320073,0.03018130614833783,0.05545226596194661,0.1844413153509534,Link_Error_0_range100-flw1-rtt,L,L
5,0.16437902124210296,4.995983114725573,0.16001802903668066,0.11147223988231503,0.1536198212202101,0.08444866657751138,Link_Error_0_range100-flw2-rtt,L,L
21,0.10075525543649647,0.29,0.09958008905983778,0.06333333333333332,0.09233941665695515,0.21666666666666665,Link_Error_7_range100-flw0-rtt,L,T
22,0.1380864719373661,0.16459737533697114,0.12547236088114075,0.28552605925801117,0.12416509851800277,0.0638234720694378,Link_Error_7_range100-flw1-rtt,L,T
23,0.14058111872541215,1.2657893295174678,0.13297643124606615,0.037129820332512393,0.12042479577666072,0.12489121384572349,Link_Error_7_range100-flw2-rtt,L,L
18,0.26835606543167206,0.10333333333333332,0.226671933517612,0.1433333333333333,0.2092550268633038,0.18333333333333332,Link_Error_9_range100-flw0-rtt,L,L
19,0.5543823633143998,0.06378882166703492,0.49327179140197497,0.016786532017640767,0.4227038502423348,0.09736188570231646,Link_Error_9_range100-flw1-rtt,L,L
20,0.2612803663129507,0.1250769772734794,0.23563486815717824,0.09127238882118767,0.18480349260156165,0.17240340110668784,Link_Error_9_range100-flw2-rtt,L,L
0,0.7021594909345226,0.06999999999999999,0.1900900964295677,0.12333333333333332,0.04814361300413985,0.18999999999999997,Normal_1_range100-flw0-rtt,N,N
1,0.757597300428633,0.04366550703395897,0.10160296188159272,0.09740766953729307,0.04028587329020634,0.15114983204062718,Normal_1_range100-flw1-rtt,N,N
2,0.7382183019325571,0.05723947545340651,0.23156587732678302,0.11111192293896557,0.03764829388077014,0.15825031448882976,Normal_1_range100-flw2-rtt,N,N
24,0.6965826886089571,0.049999999999999996,0.18595830288125717,0.10333333333333332,0.08712999170503162,0.15,Normal_8_range100-flw0-rtt,N,N
25,0.7021730712345211,0.06373746497919827,0.19345692806662457,0.12412032653843873,0.046616320149437306,0.19121239493759482,Normal_8_range100-flw1-rtt,N,N
26,0.5863824474941385,0.043937053343942656,0.22463567763059014,0.09801342669033362,0.06891200308495746,0.14533025336842573,Normal_8_range100-flw2-rtt,N,N
6,0.7297765628848887,0.03666666666666667,0.061363322124792716,0.10999999999999999,0.02016364937956668,0.2033333333333333,Normal_9_range100-flw0-rtt,N,N
7,0.7600128356048388,0.0369626351106122,0.07890803327826038,0.084005988887755,0.025907393112069636,0.1579312591089794,Normal_9_range100-flw1-rtt,N,N
8,0.7534007711551179,0.03707725649739314,0.09934648473607088,0.09100781140269226,0.03511728317828762,0.15842100503431616,Normal_9_range100-flw2-rtt,N,N
12,0.3694904311485708,0.06333333333333332,0.1347166311775862,0.12999999999999998,0.042511432234834175,0.2233333333333333,TCP_Congestion_0_range100-flw0-rtt,T,T
13,0.2835015470128425,0.20540253796049354,0.1272450993496714,0.34682723622837436,0.09319554928213297,0.2794821418150978,TCP_Congestion_0_range100-flw1-rtt,T,T
14,0.2040324349654924,0.19844084022811548,0.17962206541982076,0.15135318322483385,0.12894956015901005,0.2858893460913528,TCP_Congestion_0_range100-flw2-rtt,T,T
9,0.3480087637492762,0.21,0.16033582763850587,0.04333333333333333,0.07574902321880395,0.12999999999999998,TCP_Congestion_3_range100-flw0-rtt,T,T
10,0.33307771022951943,0.21165241982715527,0.1389801526016023,0.043674308853222515,0.08178928319079123,0.09742730436488099,TCP_Congestion_3_range100-flw1-rtt,T,T
11,0.28059072254426753,0.21223709929425102,0.13604638756206586,0.06400801407286935,0.08593635755846835,0.11117181391603626,TCP_Congestion_3_range100-flw2-rtt,T,T
15,0.18934193796211232,0.24999999999999997,0.1886451132369534,0.30333333333333334,0.08022019256436205,0.12999999999999998,TCP_Congestion_6_range100-flw0-rtt,T,T
16,0.1466211496528292,0.29900103753360024,0.1173950663897229,0.2519671664608991,0.09446931899794206,0.17133767319341142,TCP_Congestion_6_range100-flw1-rtt,T,T
17,0.27420687390785486,0.3004545675052714,0.16025122281026632,0.2531920512684871,0.07785437125436166,0.4287385401479715,TCP_Congestion_6_range100-flw2-rtt,T,T
