Time	size	received	dropped
1	0	343	0
2	0	857	0
3	0	1497	0
4	0	2019	0
5	0	2688	0
6	0	3174	0
7	0	3767	0
8	0	4268	0
9	0	4898	0
10	0	5386	0
11	0	6081	0
12	0	6593	0
13	1	7263	0
14	0	7845	0
15	0	8466	0
16	0	9125	0
17	0	9697	0
18	2	10435	0
19	0	10975	0
20	2	11661	0
21	0	12263	0
22	1	12896	0
23	0	13589	0
24	0	14157	0
25	0	14774	0
26	0	15349	0
27	0	15960	0
28	0	16500	0
29	0	17058	0
30	0	17617	0
