,0,1,name,label,pred
21,0.14749287926008786,0.2966666666666667,Link_Error_0005_2_range10-flw0-rtt,L,L
22,0.08432271363434117,0.3715632533047456,Link_Error_0005_2_range10-flw1-rtt,L,T
23,0.1171024004790296,0.2586341570472954,Link_Error_0005_2_range10-flw2-rtt,L,L
12,0.18691386549006891,0.15666666666666665,Link_Error_0005_6_range10-flw0-rtt,L,L
13,0.0810687763839733,0.11718379092376047,Link_Error_0005_6_range10-flw1-rtt,L,L
14,0.09726439214610857,0.14450105114433237,Link_Error_0005_6_range10-flw2-rtt,L,L
15,0.11963489463897978,0.17666666666666664,Link_Error_0005_7_range10-flw0-rtt,L,L
16,0.0879553852274763,0.3783340732052325,Link_Error_0005_7_range10-flw1-rtt,L,L
17,0.16278128044506385,0.2520010309866179,Link_Error_0005_7_range10-flw2-rtt,L,L
18,0.5914766441223195,0.16999999999999998,Normal_0_range10-flw0-rtt,N,N
19,0.57646122693951,0.2041924184827881,Normal_0_range10-flw1-rtt,N,N
20,0.5934849625421289,0.21829820562569252,Normal_0_range10-flw2-rtt,N,N
3,0.5785793939189001,0.21,Normal_4_range10-flw0-rtt,N,N
4,0.5878575603675156,0.15071447200215765,Normal_4_range10-flw1-rtt,N,N
5,0.5875666988719287,0.1579206460849472,Normal_4_range10-flw2-rtt,N,N
24,0.578411078101052,0.21,Normal_5_range10-flw0-rtt,N,N
25,0.5996679606862548,0.17076398097448173,Normal_5_range10-flw1-rtt,N,N
26,0.593570754899289,0.21829820562569252,Normal_5_range10-flw2-rtt,N,N
9,0.0757548645395156,0.43666666666666665,TCP_Congestion_2_range10-flw0-rtt,T,L
10,0.05922258896383497,0.9878847488778552,TCP_Congestion_2_range10-flw1-rtt,T,T
11,0.05317327528832709,1.2462301119225492,TCP_Congestion_2_range10-flw2-rtt,T,T
0,0.08020274992693763,0.4766666666666667,TCP_Congestion_3_range10-flw0-rtt,T,L
1,0.06073015783324932,0.49207025437655494,TCP_Congestion_3_range10-flw1-rtt,T,T
2,0.06652496547882877,0.7493917157198993,TCP_Congestion_3_range10-flw2-rtt,T,T
6,0.09288823119902406,0.49,TCP_Congestion_7_range10-flw0-rtt,T,T
7,0.05399014377878553,1.5903423431193402,TCP_Congestion_7_range10-flw1-rtt,T,T
8,0.06676969366915371,0.2721976969856928,TCP_Congestion_7_range10-flw2-rtt,T,L
