,0,1,2,3,4,5,6,7,name,label,pred
15,0.019450787887614764,0.20390171492464162,0.01716623248289717,0.10009720550846044,0.016919241833184318,0.42633994938788705,0.015485844438661132,0.1742432836628756,Link_Error_001_0_range10-flw0-rtt,L,T
16,0.15916674306890727,0.06999999999999999,0.08237394068839927,0.3833333333333333,0.07906025232419991,0.1633333333333333,0.0643173392003096,0.3566666666666667,Link_Error_001_0_range10-flw1-rtt,L,L
17,0.18822879806333132,0.2317786461527113,0.0974233135162627,0.44676173823638554,0.07401434954461847,0.10413243522802972,0.06928575737497476,0.3325519705669336,Link_Error_001_0_range10-flw2-rtt,L,L
18,0.16502809440628605,0.2233333333333333,0.06234441442759999,0.12333333333333332,0.03650224138183865,0.5833333333333333,0.031437457336470714,0.08333333333333331,Link_Error_001_2_range10-flw0-rtt,L,T
19,0.08570949274456069,0.22429193463276031,0.07842574788670997,0.05690989386204366,0.07337604584569696,0.4251503835576203,0.05356800969985307,0.47201735497342096,Link_Error_001_2_range10-flw1-rtt,L,L
20,0.11219740038530386,0.22510579384347745,0.08660460885467346,0.1847883382297203,0.06830056376700404,0.07727512325970122,0.0576748765794564,0.13103173074471075,Link_Error_001_2_range10-flw2-rtt,L,L
3,0.13868778778424798,0.18333333333333332,0.08983439534196029,0.10333333333333332,0.05849775104742083,0.2966666666666667,0.05366552684454588,0.06333333333333332,Link_Error_001_5_range10-flw0-rtt,L,L
4,0.09547303309553974,0.3314386314758295,0.08244803244234496,0.050217974466034786,0.04400040408052712,0.45196177019431305,0.032631492719531544,0.15065392339810435,Link_Error_001_5_range10-flw1-rtt,L,T
5,0.2261448843595806,0.14450001198005913,0.1976519849620276,0.19154652750845047,0.17101194899169211,0.05712791171304663,0.13788317013966492,0.10417442724143797,Link_Error_001_5_range10-flw2-rtt,L,L
12,0.5914065024518609,0.15,0.1593039428911567,0.30333333333333334,0.06930456293856016,0.45666666666666667,0.04614779780460426,0.6099999999999999,Normal_1_range10-flw0-rtt,N,N
13,0.5854662963974709,0.15739180744833625,0.1463828670736421,0.3181323767572754,0.07107247746399802,0.48557046978742036,0.0398012187397651,0.6396135153751537,Normal_1_range10-flw1-rtt,N,N
14,0.5875319115989763,0.1579206460849472,0.14861280414320407,0.31920130591638274,0.07021867869819877,0.4804819657478182,0.04151964519052118,0.6417626255792537,Normal_1_range10-flw2-rtt,N,N
6,0.47514759379101645,0.17666666666666664,0.07482971073828595,0.12333333333333332,0.06021444684103378,0.35,0.05331613438912524,0.08999999999999998,Normal_3_range10-flw0-rtt,N,N
7,0.4705268370365323,0.17744872460068428,0.07565931286046525,0.12387929830613809,0.06175766560499574,0.3515493600579594,0.051590208147347855,0.0903984068720467,Normal_3_range10-flw1-rtt,N,N
8,0.5874374736544345,0.1579206460849472,0.14860399598053747,0.31920130591638274,0.0701815476804463,0.4804819657478182,0.04152822250505162,0.6417626255792537,Normal_3_range10-flw2-rtt,N,N
9,0.578411078101052,0.21,0.1493401455488387,0.4166666666666667,0.07581581316980751,0.6299999999999999,0.04760955382739426,0.8366666666666666,Normal_5_range10-flw0-rtt,N,N
10,0.5996679606862548,0.17076398097448173,0.14468025030765572,0.3448762753014043,0.0669820441557075,0.5256851963332084,0.06368109822106198,0.12388759404031027,Normal_5_range10-flw1-rtt,N,N
11,0.593570754899289,0.21829820562569252,0.14934285901719588,0.439954845184088,0.0650007822266117,0.6683283526078894,0.040785888307281554,0.8899849921662849,Normal_5_range10-flw2-rtt,N,N
24,0.0757548645395156,0.43666666666666665,0.06403261330372308,0.9033333333333332,0.04073983000778827,1.5833333333333333,0.033652992272309425,0.1433333333333333,TCP_Congestion_2_range10-flw0-rtt,T,T
25,0.05922258896383497,0.9878847488778552,0.05660145505408562,0.9075144642233856,0.055888535439992615,0.5324531358358608,0.05407962380863258,0.3449224716420986,TCP_Congestion_2_range10-flw1-rtt,T,T
26,0.05317327528832709,1.2462301119225492,0.052248320625119735,0.9103190305418082,0.05187136307905633,1.5552683067928308,0.045892220453034975,0.40645240847069664,TCP_Congestion_2_range10-flw2-rtt,T,T
21,0.05222201997065502,1.6433333333333333,0.04123647239072019,1.5966666666666667,0.037999551094232385,0.35,0.03557203844539411,1.31,TCP_Congestion_4_range10-flw0-rtt,T,T
22,0.07252173928100025,0.793709719859652,0.0707434776947397,1.6443522044349752,0.07022053603354039,0.3047577405368284,0.06296919123011058,1.1754941420706237,TCP_Congestion_4_range10-flw1-rtt,T,T
23,0.10806043028683969,0.5004402698844147,0.05640709974150219,0.7892849894150165,0.05296209097813757,1.6491018289479706,0.03464252771406594,1.1721721757695351,TCP_Congestion_4_range10-flw2-rtt,T,T
0,0.03868874171016264,0.36333333333333334,0.036956790128555295,1.15,0.035843934344662716,1.47,0.03102809755464583,0.5033333333333333,TCP_Congestion_8_range10-flw0-rtt,T,T
1,0.07875636434042621,0.3314386314758295,0.0647047834110999,0.41178739062148517,0.04333059499664158,0.25778560225897856,0.03810540497392022,0.37161301104865735,TCP_Congestion_8_range10-flw1-rtt,T,T
2,0.09184164888003142,1.4483605851954764,0.08824380385474799,0.3326860740936245,0.08633284483146193,0.28563955856523315,0.059053632237784294,0.6552907520025937,TCP_Congestion_8_range10-flw2-rtt,T,L
