Time	size	received	dropped
1	0	61	0
2	0	276	0
3	0	504	0
4	0	802	0
5	0	994	0
6	0	1121	0
7	0	1245	0
8	0	1423	0
9	0	1659	0
10	0	1930	0
11	0	2281	0
12	0	2537	0
13	0	2638	0
14	0	2782	0
15	0	2941	0
16	0	3060	0
17	0	3223	0
18	0	3448	0
19	0	3706	0
20	1	4036	0
21	0	4180	0
22	0	4287	0
23	0	4445	0
24	0	4539	0
25	0	4684	0
26	0	4869	0
27	0	5116	0
28	0	5383	0
29	0	5496	0
30	0	5605	0
