199 0.304391000 1
666 0.665170000 1440
669 0.666366000 2880
919 0.857481000 1440
921 0.858450000 2880
924 0.859881000 4320
1177 1.049566000 2880
1179 1.050761000 4320
1182 1.051956000 5760
1443 1.240681000 1440
1445 1.241650000 2880
1448 1.243081000 4320
1450 1.244041000 5760
1453 1.245481000 7200
1455 1.246431000 8640
1727 1.432766000 1440
1730 1.433961000 2880
1734 1.435307000 4320
1737 1.436378000 5760
1741 1.437725000 7200
1744 1.438796000 8640
1748 1.440142000 10080
1751 1.441214000 11520
1755 1.442560000 12960
2047 1.624850000 2880
2052 1.626281000 4320
2055 1.627352000 5760
2060 1.628699000 7200
2063 1.629770000 8640
2067 1.631081000 10080
2069 1.632022000 11520
2073 1.633481000 12960
2075 1.634412000 14400
2079 1.635881000 15840
2081 1.636802000 17280
2084 1.637998000 18720
2400 1.816136000 2880
2402 1.816935000 4320
2406 1.818281000 5760
2408 1.819326000 7200
2412 1.820681000 8640
2414 1.821716000 10080
2418 1.823081000 11520
2420 1.824106000 12960
2424 1.825481000 14400
2426 1.826497000 15840
2430 1.827881000 17280
2432 1.828887000 18720
2436 1.830281000 20160
2438 1.831278000 21600
2442 1.832681000 23040
2444 1.833668000 24480
2448 1.835081000 25920
2450 1.836058000 27360
2795 2.007081000 2880
2799 2.008221000 4320
2803 2.009567000 5760
2807 2.010639000 7200
2811 2.011985000 8640
2814 2.013002000 10080
2817 2.014281000 11520
2820 2.015392000 12960
2823 2.016681000 14400
2826 2.017783000 15840
2829 2.019081000 17280
2832 2.020173000 18720
2835 2.021481000 20160
2838 2.022564000 21600
2841 2.023881000 23040
2844 2.024954000 24480
2847 2.026281000 25920
2850 2.027344000 27360
2854 2.028681000 25920
2857 2.029735000 27360
2861 2.031081000 25920
2864 2.032125000 27360
2868 2.033481000 25920
2870 2.034515000 27360
2874 2.035881000 25920
2876 2.036906000 27360
2880 2.038281000 25920
3258 2.198319000 1440
3263 2.199665000 2880
3266 2.200736000 4320
3271 2.202082000 5760
3275 2.203154000 7200
3279 2.204500000 8640
3283 2.205571000 10080
3287 2.206918000 11520
3291 2.207989000 12960
3295 2.209335000 14400
3299 2.210407000 15840
3303 2.211753000 17280
3307 2.212824000 18720
3311 2.214170000 20160
3315 2.215242000 21600
3319 2.216588000 23040
3323 2.217659000 24480
3326 2.218607000 25920
3328 2.219484000 27360
3332 2.220681000 28800
3335 2.221874000 27360
3339 2.223081000 28800
3342 2.224265000 27360
3346 2.225481000 28800
3349 2.226655000 27360
3353 2.227881000 28800
3356 2.229046000 27360
3360 2.230281000 28800
3363 2.231436000 27360
3367 2.232681000 28800
3370 2.233826000 27360
3374 2.235081000 28800
3377 2.236217000 27360
3381 2.237481000 28800
3384 2.238607000 27360
3388 2.239881000 28800
3391 2.240998000 27360
3394 2.242281000 28800
3397 2.243388000 27360
3400 2.244681000 28800
3403 2.245778000 27360
3406 2.247081000 28800
3817 2.390554000 1440
3822 2.391901000 2880
3826 2.392972000 4320
3831 2.394318000 5760
3835 2.395390000 7200
3840 2.396736000 8640
3844 2.397807000 10080
3849 2.399153000 11520
3853 2.400225000 12960
3858 2.401571000 14400
3862 2.402642000 15840
3867 2.403989000 17280
3871 2.405060000 18720
3876 2.406406000 20160
3880 2.407478000 21600
3885 2.408824000 23040
3889 2.409895000 24480
3893 2.411241000 25920
3897 2.412313000 27360
3902 2.413659000 25920
3906 2.414730000 27360
