Time	size	received	dropped
1	1	638	0
2	0	1382	0
3	0	1928	0
4	0	2690	0
5	0	3382	0
6	1	4048	0
7	0	4878	0
8	0	5580	0
9	0	6211	0
10	0	6813	0
11	0	7478	0
12	0	7958	0
13	3	8741	0
14	0	9572	0
15	1	10400	0
16	1	11213	0
17	1	12043	0
18	0	12800	0
19	0	13449	0
20	1	14277	0
21	0	14989	0
22	0	15668	0
23	0	16489	0
24	0	17112	0
25	0	17865	0
26	2	18686	0
27	0	19299	0
28	3	20077	0
29	0	20814	0
30	0	21462	0
