,0,1,name,label,pred
3,0.32373749499401605,0.09666666666666665,Link_Error_2_range50-flw0-rtt,L,L
4,0.21693436456718784,2.465798949220745,Link_Error_2_range50-flw1-rtt,L,T
5,0.14890646809206837,0.03027470968824012,Link_Error_2_range50-flw2-rtt,L,L
18,0.17314495642375546,0.08333333333333331,Link_Error_3_range50-flw0-rtt,L,L
19,0.162754411139824,2.4592542997444493,Link_Error_3_range50-flw1-rtt,L,T
20,0.13852215553108882,0.13813186357436816,Link_Error_3_range50-flw2-rtt,L,L
0,0.26498018407602486,0.06333333333333332,Link_Error_9_range50-flw0-rtt,L,L
1,0.328711563590175,0.056917515437955334,Link_Error_9_range50-flw1-rtt,L,L
2,0.17340228615941122,0.13105815040051874,Link_Error_9_range50-flw2-rtt,L,L
24,0.7105115647868145,0.056666666666666664,Normal_2_range50-flw0-rtt,N,N
25,0.5970483937936988,0.11058320476360277,Normal_2_range50-flw1-rtt,N,N
26,0.6170457180726924,0.10424448924117848,Normal_2_range50-flw2-rtt,N,N
9,0.7803203543239953,0.04333333333333333,Normal_4_range50-flw0-rtt,N,N
10,0.6192919954090449,0.10389511848115525,Normal_4_range50-flw1-rtt,N,N
11,0.605740091384786,0.10424448924117848,Normal_4_range50-flw2-rtt,N,N
12,0.6218253058115922,0.08999999999999998,Normal_5_range50-flw0-rtt,N,N
13,0.5861913866514838,0.11726949834085437,Normal_5_range50-flw1-rtt,N,N
14,0.5981044222942331,0.11095501570971719,Normal_5_range50-flw2-rtt,N,N
6,0.23625123462739805,0.5233333333333333,TCP_Congestion_3_range50-flw0-rtt,T,T
7,0.3210381072060153,0.5264608088657877,TCP_Congestion_3_range50-flw1-rtt,T,T
8,0.44482384446306006,0.5285166191377617,TCP_Congestion_3_range50-flw2-rtt,T,T
15,0.14502338856532113,0.1633333333333333,TCP_Congestion_6_range50-flw0-rtt,T,L
16,0.11443819590100436,0.30500288864548986,TCP_Congestion_6_range50-flw1-rtt,T,T
17,0.24592036980802381,0.1578888155695034,TCP_Congestion_6_range50-flw2-rtt,T,L
21,0.2749325497799579,0.33666666666666667,TCP_Congestion_9_range50-flw0-rtt,T,T
22,0.19250903686902798,0.3388831545310876,TCP_Congestion_9_range50-flw1-rtt,T,T
23,0.19641316185028582,0.33990959683591954,TCP_Congestion_9_range50-flw2-rtt,T,T
