,0,1,name,label,pred
12,0.1482921519118241,0.13666666666666666,Link_Error_1_range50-flw0-rtt,L,L
13,0.26673465397366747,0.06369473086679847,Link_Error_1_range50-flw1-rtt,L,L
14,0.08880607607162505,0.17157977502392613,Link_Error_1_range50-flw2-rtt,L,L
6,0.17314495642375546,0.08333333333333331,Link_Error_3_range50-flw0-rtt,L,L
7,0.162754411139824,2.4592542997444493,Link_Error_3_range50-flw1-rtt,L,T
8,0.13852215553108882,0.13813186357436816,Link_Error_3_range50-flw2-rtt,L,L
9,0.08675801734329462,0.056666666666666664,Link_Error_8_range50-flw0-rtt,L,L
10,0.35203690242388946,0.03685365844424693,Link_Error_8_range50-flw1-rtt,L,L
11,0.31695614860491406,0.1381225566835602,Link_Error_8_range50-flw2-rtt,L,L
21,0.5664369487407124,0.12999999999999998,Normal_3_range50-flw0-rtt,N,N
22,0.7810483224049551,0.04365084521635257,Normal_3_range50-flw1-rtt,N,N
23,0.7306339924948672,0.057243330251285085,Normal_3_range50-flw2-rtt,N,N
18,0.6218253058115922,0.08999999999999998,Normal_5_range50-flw0-rtt,N,N
19,0.5861913866514838,0.11726949834085437,Normal_5_range50-flw1-rtt,N,N
20,0.5981044222942331,0.11095501570971719,Normal_5_range50-flw2-rtt,N,N
3,0.6381170019214999,0.08333333333333331,Normal_9_range50-flw0-rtt,N,N
4,0.5959139529922949,0.19751080810944566,Normal_9_range50-flw1-rtt,N,N
5,0.7372335729109982,0.05723947545340651,Normal_9_range50-flw2-rtt,N,N
0,0.11825410963241059,0.3233333333333333,TCP_Congestion_4_range50-flw0-rtt,T,T
1,0.12236840028206376,0.7485787996508737,TCP_Congestion_4_range50-flw1-rtt,T,T
2,0.08140242179888206,0.6624123652818852,TCP_Congestion_4_range50-flw2-rtt,T,T
24,0.14502338856532113,0.1633333333333333,TCP_Congestion_6_range50-flw0-rtt,T,L
25,0.11443819590100436,0.30500288864548986,TCP_Congestion_6_range50-flw1-rtt,T,T
26,0.24592036980802381,0.1578888155695034,TCP_Congestion_6_range50-flw2-rtt,T,L
15,0.2923624087160855,0.43666666666666665,TCP_Congestion_7_range50-flw0-rtt,T,T
16,0.22641756063889587,0.4389229795043406,TCP_Congestion_7_range50-flw1-rtt,T,T
17,0.39390930473435953,0.44116978964923403,TCP_Congestion_7_range50-flw2-rtt,T,T
