,0,1,2,3,name,label,pred
12,0.11586214001659301,0.056666666666666664,0.10576548060049829,0.23666666666666664,Link_Error_5_range50-flw0-rtt,L,L
13,0.2638779780433013,0.09048323173127633,0.23154891545655015,0.20442507909658725,Link_Error_5_range50-flw1-rtt,L,L
14,0.12838702363461837,0.05713559180020907,0.08810763521678983,0.13107576942400903,Link_Error_5_range50-flw2-rtt,L,L
6,0.17850810985565316,0.04333333333333333,0.13850207764143205,0.12333333333333332,Link_Error_6_range50-flw0-rtt,L,L
7,0.5025535092208699,0.036831446876849,0.1721997866328367,0.08370783381102045,Link_Error_6_range50-flw1-rtt,L,N
8,0.33031315950732815,0.06391757619975898,0.2862842571418454,0.1042865716943436,Link_Error_6_range50-flw2-rtt,L,L
24,0.08675801734329462,0.056666666666666664,0.07937038125914816,0.2033333333333333,Link_Error_8_range50-flw0-rtt,L,L
25,0.35203690242388946,0.03685365844424693,0.20954724788202397,0.1574656315345096,Link_Error_8_range50-flw1-rtt,L,L
26,0.31695614860491406,0.1381225566835602,0.2563312732949141,0.09769644253227429,Link_Error_8_range50-flw2-rtt,L,L
21,0.7105115647868145,0.056666666666666664,0.2204783298481406,0.10333333333333332,Normal_2_range50-flw0-rtt,N,N
22,0.5970483937936988,0.11058320476360277,0.19144723986665274,0.21781540332224786,Normal_2_range50-flw1-rtt,N,N
23,0.6170457180726924,0.10424448924117848,0.15548084059136932,0.2051262530229641,Normal_2_range50-flw2-rtt,N,N
3,0.5664369487407124,0.12999999999999998,0.16787102744775173,0.25666666666666665,Normal_3_range50-flw0-rtt,N,N
4,0.7810483224049551,0.04365084521635257,0.130778861260415,0.09065944775703995,Normal_3_range50-flw1-rtt,N,N
5,0.7306339924948672,0.057243330251285085,0.23575307644528945,0.11111940578190635,Normal_3_range50-flw2-rtt,N,N
0,0.577115556695574,0.12333333333333332,0.20742746590065025,0.24333333333333332,Normal_8_range50-flw0-rtt,N,N
1,0.6519665815744221,0.09051356491597677,0.245397649758686,0.17767477557580627,Normal_8_range50-flw1-rtt,N,N
2,0.7806672455961404,0.04380381108656264,0.12315374966789124,0.09097714610286087,Normal_8_range50-flw2-rtt,N,N
9,0.10700017930156976,0.5366666666666666,0.09638821582307107,0.18333333333333332,TCP_Congestion_0_range50-flw0-rtt,T,T
10,0.19342868142914169,0.5462140114080984,0.07324738533303272,0.20441137850241722,TCP_Congestion_0_range50-flw1-rtt,T,T
11,0.24999286885854316,0.548714706493345,0.06628633242822499,0.5015858359969841,TCP_Congestion_0_range50-flw2-rtt,T,T
15,0.23625123462739805,0.5233333333333333,0.07954799183871972,0.4033333333333333,TCP_Congestion_3_range50-flw0-rtt,T,T
16,0.3210381072060153,0.5264608088657877,0.06891308956978358,0.47951525903062203,TCP_Congestion_3_range50-flw1-rtt,T,T
17,0.44482384446306006,0.5285166191377617,0.07246906787932397,0.4813877486414009,TCP_Congestion_3_range50-flw2-rtt,T,T
18,0.20554944733340805,0.7299999999999999,0.09538679872209593,0.30333333333333334,TCP_Congestion_8_range50-flw0-rtt,T,T
19,0.12395107584230242,0.7270221711274166,0.10030571531240476,0.6533148542389228,TCP_Congestion_8_range50-flw1-rtt,T,T
20,0.19493368098599437,0.7299568891497896,0.13555271447270117,0.6559520432452026,TCP_Congestion_8_range50-flw2-rtt,T,T
