,0,1,name,label,pred
24,0.3338180001973678,0.056666666666666664,Link_Error_1_range10-flw0-rtt,L,L
25,0.4280303726721927,0.01674156676220409,Link_Error_1_range10-flw1-rtt,L,L
26,0.24473063734815306,0.04367137451922434,Link_Error_1_range10-flw2-rtt,L,L
3,0.15042655364290222,0.09666666666666665,Link_Error_2_range10-flw0-rtt,L,L
4,0.17633845050435604,0.11052394613491563,Link_Error_2_range10-flw1-rtt,L,L
5,0.35025090504820927,0.030226200796279037,Link_Error_2_range10-flw2-rtt,L,L
12,0.17104468617914687,0.12333333333333332,Link_Error_7_range10-flw0-rtt,L,L
13,0.1934200995670174,0.05691370439483942,Link_Error_7_range10-flw1-rtt,L,L
14,0.43580848715486253,0.05039401061136603,Link_Error_7_range10-flw2-rtt,L,L
9,0.47514759379101645,0.17666666666666664,Normal_3_range10-flw0-rtt,N,N
10,0.4705268370365323,0.17744872460068428,Normal_3_range10-flw1-rtt,N,N
11,0.5874374736544345,0.1579206460849472,Normal_3_range10-flw2-rtt,N,N
6,0.578411078101052,0.21,Normal_5_range10-flw0-rtt,N,N
7,0.5996679606862548,0.17076398097448173,Normal_5_range10-flw1-rtt,N,N
8,0.593570754899289,0.21829820562569252,Normal_5_range10-flw2-rtt,N,N
18,0.4753795280461344,0.17666666666666664,Normal_7_range10-flw0-rtt,N,N
19,0.5882940757787359,0.2175675194855981,Normal_7_range10-flw1-rtt,N,N
20,0.5700812221685895,0.14450001198005913,Normal_7_range10-flw2-rtt,N,N
0,0.08729392604669617,1.3766666666666667,TCP_Congestion_0_range10-flw0-rtt,T,T
1,0.09323486175417765,1.382853414558058,TCP_Congestion_0_range10-flw1-rtt,T,T
2,0.11149478607637481,1.3877789364257125,TCP_Congestion_0_range10-flw2-rtt,T,T
15,0.0757548645395156,0.43666666666666665,TCP_Congestion_2_range10-flw0-rtt,T,T
16,0.05922258896383497,0.9878847488778552,TCP_Congestion_2_range10-flw1-rtt,T,T
17,0.05317327528832709,1.2462301119225492,TCP_Congestion_2_range10-flw2-rtt,T,T
21,0.09288823119902406,0.49,TCP_Congestion_7_range10-flw0-rtt,T,T
22,0.05399014377878553,1.5903423431193402,TCP_Congestion_7_range10-flw1-rtt,T,T
23,0.06676969366915371,0.2721976969856928,TCP_Congestion_7_range10-flw2-rtt,T,L
