Time	size	received	dropped
1	0	424	0
2	40	2112	0
3	23	3769	0
4	37	5456	0
5	10	7102	0
6	26	8791	0
7	40	10479	0
8	9	12117	0
9	25	13806	0
10	38	15492	0
11	12	17140	0
12	28	18829	0
13	40	20514	0
14	17	22164	0
15	31	23852	0
16	40	25534	0
17	19	27180	0
18	35	28869	0
19	40	30548	0
20	12	32190	0
21	29	33881	0
22	40	35565	0
23	16	37214	0
24	29	38901	0
25	40	40585	0
26	13	42230	0
27	28	43918	0
28	39	45603	0
29	18	47255	0
30	32	48942	0
