,amplitude_1,frequency_1,amplitude_2,frequency_2,name,label,pred
21,0.0982956632979905,0.5299999999999999,0.09740887078060283,0.2966666666666667,Link_Error_1_range100-flw0-rtt,L,T
22,0.14768014084491662,2.1113204268438714,0.09006336093992386,0.08391575623385818,Link_Error_1_range100-flw1-rtt,L,L
23,0.15310010208740865,0.06407709108082978,0.1430152927922262,0.1382716175954748,Link_Error_1_range100-flw2-rtt,L,L
12,0.19880173442030677,0.16426535855121713,0.18189155744943694,0.1106276904528605,Link_Error_2_range100-flw0-rtt,L,T
13,0.1395986058066504,0.27,0.07330259370892016,0.5099999999999999,Link_Error_2_range100-flw1-rtt,L,T
14,0.13318078291603877,0.1990836550530823,0.13074873190819397,0.11810047333657425,Link_Error_2_range100-flw2-rtt,L,L
15,0.26835606543167206,0.10333333333333332,0.226671933517612,0.1433333333333333,Link_Error_9_range100-flw0-rtt,L,L
16,0.5543823633143998,0.06378882166703492,0.49327179140197497,0.016786532017640767,Link_Error_9_range100-flw1-rtt,L,L
17,0.2612803663129507,0.1250769772734794,0.23563486815717824,0.09127238882118767,Link_Error_9_range100-flw2-rtt,L,T
6,0.5913234619057609,0.16999999999999998,0.1359556343947918,0.3433333333333333,Normal_0_range100-flw0-rtt,N,N
7,0.5873707475548264,0.16407834198366628,0.13375698123469723,0.3382022967418427,Normal_0_range100-flw1-rtt,N,N
8,0.6935868040216379,0.07066951592694025,0.12615768392123564,0.13124338672146044,Normal_0_range100-flw2-rtt,N,N
9,0.6577600027612178,0.04333333333333333,0.2213637445159273,0.08999999999999998,Normal_7_range100-flw0-rtt,N,N
10,0.7760470411999851,0.043647914034291746,0.13427112129073682,0.09065335991737516,Normal_7_range100-flw1-rtt,N,N
11,0.592135322310768,0.19817422423104455,0.12365686105022146,0.39298956330563073,Normal_7_range100-flw2-rtt,N,N
0,0.6965826886089571,0.049999999999999996,0.18595830288125717,0.10333333333333332,Normal_8_range100-flw0-rtt,N,N
1,0.7021730712345211,0.06373746497919827,0.19345692806662457,0.12412032653843873,Normal_8_range100-flw1-rtt,N,N
2,0.5863824474941385,0.043937053343942656,0.22463567763059014,0.09801342669033362,Normal_8_range100-flw2-rtt,N,N
18,0.3480087637492762,0.21,0.16033582763850587,0.04333333333333333,TCP_Congestion_3_range100-flw0-rtt,T,L
19,0.33307771022951943,0.21165241982715527,0.1389801526016023,0.043674308853222515,TCP_Congestion_3_range100-flw1-rtt,T,L
20,0.28059072254426753,0.21223709929425102,0.13604638756206586,0.06400801407286935,TCP_Congestion_3_range100-flw2-rtt,T,T
24,0.18934193796211232,0.24999999999999997,0.1886451132369534,0.30333333333333334,TCP_Congestion_6_range100-flw0-rtt,T,T
25,0.1466211496528292,0.29900103753360024,0.1173950663897229,0.2519671664608991,TCP_Congestion_6_range100-flw1-rtt,T,L
26,0.27420687390785486,0.3004545675052714,0.16025122281026632,0.2531920512684871,TCP_Congestion_6_range100-flw2-rtt,T,T
3,0.26013705812391713,0.48333333333333334,0.04154635779095421,0.4033333333333333,TCP_Congestion_8_range100-flw0-rtt,T,T
4,0.2554387355949819,0.4864501328394667,0.04720240212846449,0.5334177318722428,TCP_Congestion_8_range100-flw1-rtt,T,T
5,0.20907276647864473,0.48074041285112584,0.09417950193897243,0.1311110216866707,TCP_Congestion_8_range100-flw2-rtt,T,T
