,amplitude_1,frequency_1,amplitude_2,frequency_2,name,label,pred
12,0.18092502010330644,0.06999999999999999,0.16222027070686829,0.1433333333333333,Link_Error_4_range100-flw0-rtt,L,T
13,0.1332170679221559,0.11082831977919774,0.11851456339254038,0.19143073416406883,Link_Error_4_range100-flw1-rtt,L,L
14,0.2709516716012675,1.6085637370449497,0.1367068472826151,0.043839263273761725,Link_Error_4_range100-flw2-rtt,L,L
15,0.12406704428813432,0.056666666666666664,0.0993491997684664,0.13666666666666666,Link_Error_5_range100-flw0-rtt,L,L
16,0.5202398582788051,0.06375885354601407,0.3967098022890037,0.10402760315402296,Link_Error_5_range100-flw1-rtt,L,N
17,0.21947509487945083,0.11135939005829934,0.13714083791571524,0.15185371371586273,Link_Error_5_range100-flw2-rtt,L,T
24,0.46636297121963594,0.056666666666666664,0.4619861173201052,0.06999999999999999,Link_Error_8_range100-flw0-rtt,L,L
25,0.41683130754137154,0.10395086034929568,0.3195672506058094,0.05029880339482049,Link_Error_8_range100-flw1-rtt,L,L
26,0.5878534971586465,0.06384026118327654,0.3148234884634166,0.11760048112708837,Link_Error_8_range100-flw2-rtt,L,N
3,0.572194591931221,0.11666666666666665,0.22491326305685294,0.22999999999999998,Normal_2_range100-flw0-rtt,N,N
4,0.6519036602861192,0.09051356491597677,0.24412129975215285,0.17767477557580627,Normal_2_range100-flw1-rtt,N,N
5,0.5893686831714291,0.1243706550733496,0.15215355645505463,0.25210267920273566,Normal_2_range100-flw2-rtt,N,N
9,0.5910948876939286,0.1633333333333333,0.12106639484144165,0.33,Normal_4_range100-flw0-rtt,N,N
10,0.7060268862938665,0.07044194572327324,0.18114752819289218,0.1241119996076719,Normal_4_range100-flw1-rtt,N,N
11,0.5980671775216073,0.151210779997959,0.16257197219584493,0.3057817995514282,Normal_4_range100-flw2-rtt,N,N
0,0.7492723637805765,0.03666666666666667,0.08679375786734767,0.08999999999999998,Normal_6_range100-flw0-rtt,N,N
1,0.5763260104956006,0.1239623056761033,0.20805787972856576,0.24457427876636598,Normal_6_range100-flw1-rtt,N,N
2,0.7730777977009231,0.04379495699722641,0.1366745591235049,0.0909587568403933,Normal_6_range100-flw2-rtt,N,N
18,0.13003774150734174,0.15,0.1180354227613141,0.4633333333333333,TCP_Congestion_2_range100-flw0-rtt,T,L
19,0.13094347227582695,0.45982747474531854,0.09609910807754109,0.3792737565417591,TCP_Congestion_2_range100-flw1-rtt,T,L
20,0.21083390279617126,0.44938834698173047,0.11743822409818888,0.25341448138067507,TCP_Congestion_2_range100-flw2-rtt,T,T
21,0.3480087637492762,0.21,0.16033582763850587,0.04333333333333333,TCP_Congestion_3_range100-flw0-rtt,T,L
22,0.33307771022951943,0.21165241982715527,0.1389801526016023,0.043674308853222515,TCP_Congestion_3_range100-flw1-rtt,T,L
23,0.28059072254426753,0.21223709929425102,0.13604638756206586,0.06400801407286935,TCP_Congestion_3_range100-flw2-rtt,T,T
6,0.26013705812391713,0.48333333333333334,0.04154635779095421,0.4033333333333333,TCP_Congestion_8_range100-flw0-rtt,T,T
7,0.2554387355949819,0.4864501328394667,0.04720240212846449,0.5334177318722428,TCP_Congestion_8_range100-flw1-rtt,T,T
8,0.20907276647864473,0.48074041285112584,0.09417950193897243,0.1311110216866707,TCP_Congestion_8_range100-flw2-rtt,T,T
