,amplitude_1,frequency_1,amplitude_2,frequency_2,name,label,pred
18,0.18092502010330644,0.06999999999999999,0.16222027070686829,0.1433333333333333,Link_Error_4_range100-flw0-rtt,L,L
19,0.1332170679221559,0.11082831977919774,0.11851456339254038,0.19143073416406883,Link_Error_4_range100-flw1-rtt,L,L
20,0.2709516716012675,1.6085637370449497,0.1367068472826151,0.043839263273761725,Link_Error_4_range100-flw2-rtt,L,T
12,0.46636297121963594,0.056666666666666664,0.4619861173201052,0.06999999999999999,Link_Error_8_range100-flw0-rtt,L,L
13,0.41683130754137154,0.10395086034929568,0.3195672506058094,0.05029880339482049,Link_Error_8_range100-flw1-rtt,L,L
14,0.5878534971586465,0.06384026118327654,0.3148234884634166,0.11760048112708837,Link_Error_8_range100-flw2-rtt,L,N
24,0.26835606543167206,0.10333333333333332,0.226671933517612,0.1433333333333333,Link_Error_9_range100-flw0-rtt,L,L
25,0.5543823633143998,0.06378882166703492,0.49327179140197497,0.016786532017640767,Link_Error_9_range100-flw1-rtt,L,N
26,0.2612803663129507,0.1250769772734794,0.23563486815717824,0.09127238882118767,Link_Error_9_range100-flw2-rtt,L,L
3,0.5822718280148793,0.18333333333333332,0.1465936721760226,0.37666666666666665,Normal_5_range100-flw0-rtt,N,N
4,0.7083118274527103,0.0503562148280723,0.1515712735387417,0.09735534866760645,Normal_5_range100-flw1-rtt,N,N
5,0.7049712537162663,0.07067427260944863,0.17600828685300157,0.1312522205604046,Normal_5_range100-flw2-rtt,N,N
9,0.7492723637805765,0.03666666666666667,0.08679375786734767,0.08999999999999998,Normal_6_range100-flw0-rtt,N,N
10,0.5763260104956006,0.1239623056761033,0.20805787972856576,0.24457427876636598,Normal_6_range100-flw1-rtt,N,N
11,0.7730777977009231,0.04379495699722641,0.1366745591235049,0.0909587568403933,Normal_6_range100-flw2-rtt,N,N
15,0.6577600027612178,0.04333333333333333,0.2213637445159273,0.08999999999999998,Normal_7_range100-flw0-rtt,N,N
16,0.7760470411999851,0.043647914034291746,0.13427112129073682,0.09065335991737516,Normal_7_range100-flw1-rtt,N,N
17,0.592135322310768,0.19817422423104455,0.12365686105022146,0.39298956330563073,Normal_7_range100-flw2-rtt,N,N
6,0.20008232378626029,0.23666666666666664,0.10930367376002684,0.12333333333333332,TCP_Congestion_1_range100-flw0-rtt,T,T
7,0.20272788765461064,0.2324344956641366,0.17456029151867586,0.1179015557716635,TCP_Congestion_1_range100-flw1-rtt,T,T
8,0.27848643107671545,0.11789361300572697,0.21983379792001423,0.06399938991739464,TCP_Congestion_1_range100-flw2-rtt,T,L
0,0.13003774150734174,0.15,0.1180354227613141,0.4633333333333333,TCP_Congestion_2_range100-flw0-rtt,T,L
1,0.13094347227582695,0.45982747474531854,0.09609910807754109,0.3792737565417591,TCP_Congestion_2_range100-flw1-rtt,T,L
2,0.21083390279617126,0.44938834698173047,0.11743822409818888,0.25341448138067507,TCP_Congestion_2_range100-flw2-rtt,T,T
21,0.1679491707032011,0.04333333333333333,0.16139226179604305,0.23666666666666664,TCP_Congestion_9_range100-flw0-rtt,T,L
22,0.18102470739192095,0.03698251832996495,0.1711016948375906,0.2319812513425074,TCP_Congestion_9_range100-flw1-rtt,T,L
23,0.21950283411362495,0.043839263273761725,0.14127346189229217,0.23268532045304302,TCP_Congestion_9_range100-flw2-rtt,T,L
