Time	size	received	dropped
1	0	395	0
2	0	1061	0
3	0	1478	0
4	0	1740	0
5	0	1940	0
6	0	2220	0
7	0	2407	0
8	0	2779	0
9	0	3020	0
10	0	3326	0
11	0	3529	0
12	0	3772	0
13	1	4258	0
14	0	4585	0
15	0	4955	0
16	0	5245	0
17	0	5454	0
18	0	5797	0
19	0	6291	0
20	0	6582	0
21	0	6926	0
22	0	7353	0
23	0	7965	0
24	0	8282	0
25	0	8735	0
26	0	9128	0
27	0	9588	0
28	0	9944	0
29	0	10429	0
30	0	10793	0
