,0,1,2,3,4,name,label,pred
12,0.11586214001659301,0.056666666666666664,0.10576548060049829,0.23666666666666664,2625.0,Link_Error_5_range50-flw0-rtt,L,L
13,0.2638779780433013,0.09048323173127633,0.23154891545655015,0.20442507909658725,2625.0,Link_Error_5_range50-flw1-rtt,L,L
14,0.12838702363461837,0.05713559180020907,0.08810763521678983,0.13107576942400903,2625.0,Link_Error_5_range50-flw2-rtt,L,L
0,0.17850810985565316,0.04333333333333333,0.13850207764143205,0.12333333333333332,2315.0,Link_Error_6_range50-flw0-rtt,L,L
1,0.5025535092208699,0.036831446876849,0.1721997866328367,0.08370783381102045,2315.0,Link_Error_6_range50-flw1-rtt,L,N
2,0.33031315950732815,0.06391757619975898,0.2862842571418454,0.1042865716943436,2315.0,Link_Error_6_range50-flw2-rtt,L,L
21,0.3177258069000951,0.06333333333333332,0.26064389632046414,0.11666666666666665,2217.0,Link_Error_7_range50-flw0-rtt,L,L
22,0.44097750432933475,0.07715587865902948,0.22392463372377852,0.12412032653843873,2217.0,Link_Error_7_range50-flw1-rtt,L,L
23,0.1013877915047222,0.05044427449581535,0.09463811459236858,0.2522213724790768,2217.0,Link_Error_7_range50-flw2-rtt,L,L
15,0.5878082536086505,0.16999999999999998,0.1367450783357951,0.3433333333333333,1894.0,Normal_1_range50-flw0-rtt,N,N
16,0.7392981497350808,0.043644983245866,0.12973005059537718,0.09736188570231646,1894.0,Normal_1_range50-flw1-rtt,N,N
17,0.5975677650490292,0.14450001198005913,0.17283564810667018,0.29908142014477357,1894.0,Normal_1_range50-flw2-rtt,N,N
24,0.577115556695574,0.12333333333333332,0.20742746590065025,0.24333333333333332,1756.0,Normal_8_range50-flw0-rtt,N,N
25,0.6519665815744221,0.09051356491597677,0.245397649758686,0.17767477557580627,1756.0,Normal_8_range50-flw1-rtt,N,N
26,0.7806672455961404,0.04380381108656264,0.12315374966789124,0.09097714610286087,1756.0,Normal_8_range50-flw2-rtt,N,N
9,0.6381170019214999,0.08333333333333331,0.213117749452631,0.1633333333333333,1866.0,Normal_9_range50-flw0-rtt,N,N
10,0.5959139529922949,0.19751080810944566,0.12404481706880344,0.39836925703430565,1866.0,Normal_9_range50-flw1-rtt,N,N
11,0.7372335729109982,0.05723947545340651,0.22112051520997023,0.11111192293896557,1866.0,Normal_9_range50-flw2-rtt,N,N
3,0.20461595921209152,0.6099999999999999,0.06827799872321243,0.3833333333333333,2075.0,TCP_Congestion_2_range50-flw0-rtt,T,T
4,0.3135834906458596,0.6136454014168099,0.09836040583220411,0.11736387458791447,2075.0,TCP_Congestion_2_range50-flw1-rtt,T,T
5,0.23393636070312065,0.6153373748557613,0.07263661754133414,0.18493746238834358,2075.0,TCP_Congestion_2_range50-flw2-rtt,T,T
18,0.14502338856532113,0.1633333333333333,0.10767538498974154,0.30333333333333334,2715.0,TCP_Congestion_6_range50-flw0-rtt,T,L
19,0.11443819590100436,0.30500288864548986,0.1041178201942253,0.7876448223262651,2715.0,TCP_Congestion_6_range50-flw1-rtt,T,T
20,0.24592036980802381,0.1578888155695034,0.16670152229609517,0.312418294637528,2715.0,TCP_Congestion_6_range50-flw2-rtt,T,L
6,0.2923624087160855,0.43666666666666665,0.11520296325402761,0.48333333333333334,1941.0,TCP_Congestion_7_range50-flw0-rtt,T,T
7,0.22641756063889587,0.4389229795043406,0.11413813203805917,0.06366058481360666,1941.0,TCP_Congestion_7_range50-flw1-rtt,T,T
8,0.39390930473435953,0.44116978964923403,0.1905382504967622,0.4883177061002972,1941.0,TCP_Congestion_7_range50-flw2-rtt,T,T
