,0,1,2,3,4,name,label,pred
12,0.2946277338416856,0.04333333333333333,0.10984951031739668,0.15666666666666665,2082.0,Link_Error_0_range50-flw0-rtt,L,L
13,0.22034856734189556,0.09712059863261564,0.1542726358869715,0.18419423878599517,2082.0,Link_Error_0_range50-flw1-rtt,L,L
14,0.2362133804285677,0.09078137648976861,0.22132173870388105,0.13785320133631532,2082.0,Link_Error_0_range50-flw2-rtt,L,L
6,0.1482921519118241,0.13666666666666666,0.1343581953202899,0.21,2651.0,Link_Error_1_range50-flw0-rtt,L,L
7,0.26673465397366747,0.06369473086679847,0.17278523041974123,0.20449360962498458,2651.0,Link_Error_1_range50-flw1-rtt,L,L
8,0.08880607607162505,0.17157977502392613,0.07713159208654825,0.057193258341308714,2651.0,Link_Error_1_range50-flw2-rtt,L,L
3,0.08675801734329462,0.056666666666666664,0.07937038125914816,0.2033333333333333,2129.0,Link_Error_8_range50-flw0-rtt,L,L
4,0.35203690242388946,0.03685365844424693,0.20954724788202397,0.1574656315345096,2129.0,Link_Error_8_range50-flw1-rtt,L,L
5,0.31695614860491406,0.1381225566835602,0.2563312732949141,0.09769644253227429,2129.0,Link_Error_8_range50-flw2-rtt,L,L
18,0.5878082536086505,0.16999999999999998,0.1367450783357951,0.3433333333333333,1894.0,Normal_1_range50-flw0-rtt,N,N
19,0.7392981497350808,0.043644983245866,0.12973005059537718,0.09736188570231646,1894.0,Normal_1_range50-flw1-rtt,N,N
20,0.5975677650490292,0.14450001198005913,0.17283564810667018,0.29908142014477357,1894.0,Normal_1_range50-flw2-rtt,N,N
24,0.5664369487407124,0.12999999999999998,0.16787102744775173,0.25666666666666665,1694.0,Normal_3_range50-flw0-rtt,N,N
25,0.7810483224049551,0.04365084521635257,0.130778861260415,0.09065944775703995,1694.0,Normal_3_range50-flw1-rtt,N,N
26,0.7306339924948672,0.057243330251285085,0.23575307644528945,0.11111940578190635,1694.0,Normal_3_range50-flw2-rtt,N,N
0,0.6381170019214999,0.08333333333333331,0.213117749452631,0.1633333333333333,1866.0,Normal_9_range50-flw0-rtt,N,N
1,0.5959139529922949,0.19751080810944566,0.12404481706880344,0.39836925703430565,1866.0,Normal_9_range50-flw1-rtt,N,N
2,0.7372335729109982,0.05723947545340651,0.22112051520997023,0.11111192293896557,1866.0,Normal_9_range50-flw2-rtt,N,N
21,0.23625123462739805,0.5233333333333333,0.07954799183871972,0.4033333333333333,2004.0,TCP_Congestion_3_range50-flw0-rtt,T,T
22,0.3210381072060153,0.5264608088657877,0.06891308956978358,0.47951525903062203,2004.0,TCP_Congestion_3_range50-flw1-rtt,T,T
23,0.44482384446306006,0.5285166191377617,0.07246906787932397,0.4813877486414009,2004.0,TCP_Congestion_3_range50-flw2-rtt,T,T
15,0.14502338856532113,0.1633333333333333,0.10767538498974154,0.30333333333333334,2715.0,TCP_Congestion_6_range50-flw0-rtt,T,L
16,0.11443819590100436,0.30500288864548986,0.1041178201942253,0.7876448223262651,2715.0,TCP_Congestion_6_range50-flw1-rtt,T,T
17,0.24592036980802381,0.1578888155695034,0.16670152229609517,0.312418294637528,2715.0,TCP_Congestion_6_range50-flw2-rtt,T,L
9,0.20554944733340805,0.7299999999999999,0.09538679872209593,0.30333333333333334,1938.0,TCP_Congestion_8_range50-flw0-rtt,T,T
10,0.12395107584230242,0.7270221711274166,0.10030571531240476,0.6533148542389228,1938.0,TCP_Congestion_8_range50-flw1-rtt,T,T
11,0.19493368098599437,0.7299568891497896,0.13555271447270117,0.6559520432452026,1938.0,TCP_Congestion_8_range50-flw2-rtt,T,T
