,0,1,2,3,4,5,6,7,8,9,name,label,pred
9,0.09980504834099198,0.06333333333333332,0.08506010681840365,0.13666666666666666,0.06613047544380546,0.19666666666666666,0.061063972011387864,0.09666666666666665,0.05382991667556843,0.24333333333333332,Link_Error_00025_1_range10-flw0-rtt,L,L
10,0.09816483536257288,0.3516199953633044,0.06963205734560214,0.06362647535145508,0.06744711370175693,0.23776209210280583,0.06618824249747447,0.15069428372713045,0.06304503487210249,0.17078685489074785,Link_Error_00025_1_range10-flw1-rtt,L,L
11,0.08221161591221207,0.20496083853578256,0.08182415149761357,0.3057612509304298,0.06809928588084731,0.06384026118327654,0.06359972819481227,0.2654410859725709,0.06254553994901639,0.37968155335317105,Link_Error_00025_1_range10-flw2-rtt,L,L
12,0.13425489683099395,0.06333333333333332,0.12345131419470279,0.09666666666666665,0.11011584072675684,0.12333333333333332,0.08755751090806221,0.17666666666666664,0.045708623673766775,0.23666666666666664,Link_Error_00025_2_range10-flw0-rtt,L,L
13,0.12043616314343508,0.06363073703516198,0.09215043807467373,0.15740234950803225,0.08074562452996613,0.2578719343003933,0.08006135563631314,0.20428815574446738,0.06940782068968826,0.33824760213428207,Link_Error_00025_2_range10-flw1-rtt,L,L
14,0.12933487643238614,0.23844880922191028,0.12430925584275307,0.0973945840483859,0.12111888088031203,0.05037650899054443,0.10943743203230637,0.19814760202947476,0.10006774061990496,0.2921837521451577,Link_Error_00025_2_range10-flw2-rtt,L,L
15,0.08201691933582848,0.24999999999999997,0.070252684917143,0.09666666666666665,0.04826570763786575,0.3433333333333333,0.04233607169327203,0.06333333333333332,0.041973335417935874,0.19666666666666666,Link_Error_00025_8_range10-flw0-rtt,L,L
16,0.14398697182244177,0.05692895163024928,0.09402138684971965,0.09711409395748406,0.06637294184649413,0.23106456838160003,0.06294069464241997,0.264552186987629,0.056596583707981325,0.37171256652692175,Link_Error_00025_8_range10-flw1-rtt,L,L
17,0.12114458172732928,0.08399469919532741,0.12112722588419617,0.23854494571472984,0.10951767481890269,0.3258994328778704,0.10405430836477071,0.16462961042284174,0.06617228631363341,0.39981476816975847,Link_Error_00025_8_range10-flw2-rtt,L,L
18,0.578411078101052,0.21,0.1493401455488387,0.4166666666666667,0.07581581316980751,0.6299999999999999,0.04760955382739426,0.8366666666666666,0.03900221208362246,0.15666666666666665,Normal_5_range10-flw0-rtt,N,N
19,0.5996679606862548,0.17076398097448173,0.14468025030765572,0.3448762753014043,0.0669820441557075,0.5256851963332084,0.06368109822106198,0.12388759404031027,0.042053781093904924,0.6931008639552494,Normal_5_range10-flw1-rtt,N,N
20,0.593570754899289,0.21829820562569252,0.14934285901719588,0.439954845184088,0.0650007822266117,0.6683283526078894,0.040785888307281554,0.8899849921662849,0.04023673498210521,0.17128013056785105,Normal_5_range10-flw2-rtt,N,N
24,0.5918353318887168,0.15,0.15902816750573,0.30333333333333334,0.06899720717399725,0.45666666666666667,0.0490173743995494,0.10333333333333332,0.04582169854617909,0.6099999999999999,Normal_6_range10-flw0-rtt,N,N
25,0.5929254371935974,0.16407834198366628,0.12203962569659911,0.33150522155883594,0.0630719403174293,0.49223502595099883,0.044598638628952324,0.6596619055261685,0.036713499638630874,0.11719881570261878,Normal_6_range10-flw1-rtt,N,N
26,0.5874884076827961,0.1579206460849472,0.14859595909539483,0.31920130591638274,0.07021011872544415,0.4804819657478182,0.04151796717961604,0.6417626255792537,0.03717755522552968,0.11088045363411189,Normal_6_range10-flw2-rtt,N,N
0,0.47537496521308675,0.17666666666666664,0.07480425956007677,0.12333333333333332,0.06026154761407928,0.35,0.05322191729726121,0.08999999999999998,0.05004784819924213,0.37666666666666665,Normal_9_range10-flw0-rtt,N,N
1,0.585253673266333,0.15739180744833625,0.14628777456964268,0.3181323767572754,0.07100420634742416,0.48557046978742036,0.039786951131095816,0.6396135153751537,0.03713636520649213,0.11050914139989566,Normal_9_range10-flw1-rtt,N,N
2,0.5921110130372428,0.2115813377602866,0.16088435302880344,0.4332379773186821,0.07297566652227847,0.6481777490116717,0.040417741634182595,0.8631175207046612,0.03754711957548378,0.16456326270244515,Normal_9_range10-flw2-rtt,N,N
3,0.09000682494573503,0.36333333333333334,0.05100149924197503,0.5099999999999999,0.046861453438829886,1.25,0.04393447414489899,1.6099999999999999,0.04194943354243539,0.7699999999999999,TCP_Congestion_1_range10-flw0-rtt,T,T
4,0.11865548659099723,0.5121204689430232,0.04203862884202201,1.6099996441934261,0.04156443888576361,1.107920753072815,0.03752240153457062,0.8133678036153899,0.03652314729615966,0.37153837942925216,TCP_Congestion_1_range10-flw1-rtt,T,T
5,0.06407968430340004,1.622450523068979,0.05965739685494195,0.393015965215467,0.05515495645682625,0.769236376361897,0.04252596134476383,1.3805945444748455,0.04091440873556951,0.8162639277552007,TCP_Congestion_1_range10-flw2-rtt,T,T
6,0.08020274992693763,0.4766666666666667,0.05753746331441768,1.6033333333333333,0.05638788017982679,0.41,0.0391681448996427,0.6699999999999999,0.03299921272880188,0.5499999999999999,TCP_Congestion_3_range10-flw0-rtt,T,T
7,0.06073015783324932,0.49207025437655494,0.05567282718910957,1.6034125975943525,0.05009084778107288,0.672830755984269,0.04216555273356159,1.3155347617005857,0.03987255531609253,0.7464739233059302,TCP_Congestion_3_range10-flw1-rtt,T,T
