,0,1,2,3,name,label,pred
9,0.16208655177108633,0.12999999999999998,0.13797567187506957,0.21666666666666665,Link_Error_00025_0_range10-flw0-rtt,L,L
10,0.15297352331350714,0.050214612231215,0.0996912974800372,0.713047493683253,Link_Error_00025_0_range10-flw1-rtt,L,T
11,0.05460661268376397,0.21170931987776107,0.05244509748178715,0.0772907040823572,Link_Error_00025_0_range10-flw2-rtt,L,L
21,0.08934588635583791,0.2833333333333333,0.04427952551710945,0.6966666666666665,Link_Error_00025_6_range10-flw0-rtt,L,T
22,0.1057664156967985,0.19759018342497664,0.08923517367049599,0.1306104602300693,Link_Error_00025_6_range10-flw1-rtt,L,L
23,0.09744719875455318,0.05037650899054443,0.08048609237611686,0.0973945840483859,Link_Error_00025_6_range10-flw2-rtt,L,L
15,0.1259513054442934,0.10333333333333332,0.08174691502771958,0.24333333333333332,Link_Error_00025_7_range10-flw0-rtt,L,L
16,0.11327968345328644,0.41848312055028986,0.10802028587040802,0.19082830297093217,Link_Error_00025_7_range10-flw1-rtt,L,L
17,0.08301850799643756,0.043686050133506245,0.05427394510235619,0.15794187355959952,Link_Error_00025_7_range10-flw2-rtt,L,L
3,0.578411078101052,0.21,0.1493401455488387,0.4166666666666667,Normal_5_range10-flw0-rtt,N,N
4,0.5996679606862548,0.17076398097448173,0.14468025030765572,0.3448762753014043,Normal_5_range10-flw1-rtt,N,N
5,0.593570754899289,0.21829820562569252,0.14934285901719588,0.439954845184088,Normal_5_range10-flw2-rtt,N,N
0,0.5918353318887168,0.15,0.15902816750573,0.30333333333333334,Normal_6_range10-flw0-rtt,N,N
1,0.5929254371935974,0.16407834198366628,0.12203962569659911,0.33150522155883594,Normal_6_range10-flw1-rtt,N,N
2,0.5874884076827961,0.1579206460849472,0.14859595909539483,0.31920130591638274,Normal_6_range10-flw2-rtt,N,N
6,0.4753795280461344,0.17666666666666664,0.0748054867901002,0.12333333333333332,Normal_7_range10-flw0-rtt,N,N
7,0.5882940757787359,0.2175675194855981,0.14554794551999903,0.43848223157866695,Normal_7_range10-flw1-rtt,N,N
8,0.5700812221685895,0.14450001198005913,0.16500015565421416,0.29236048935500336,Normal_7_range10-flw2-rtt,N,N
12,0.0757548645395156,0.43666666666666665,0.06403261330372308,0.9033333333333332,TCP_Congestion_2_range10-flw0-rtt,T,T
13,0.05922258896383497,0.9878847488778552,0.05660145505408562,0.9075144642233856,TCP_Congestion_2_range10-flw1-rtt,T,T
14,0.05317327528832709,1.2462301119225492,0.052248320625119735,0.9103190305418082,TCP_Congestion_2_range10-flw2-rtt,T,T
18,0.10037237285747526,0.37666666666666665,0.07273887574197947,1.2966666666666666,TCP_Congestion_5_range10-flw0-rtt,T,T
19,0.060272956751404344,0.59277055027493,0.05997941853877721,1.2759637268629849,TCP_Congestion_5_range10-flw1-rtt,T,T
20,0.13653022536979648,1.2870582462409919,0.06888171392640641,0.27891862777546295,TCP_Congestion_5_range10-flw2-rtt,T,T
24,0.03868874171016264,0.36333333333333334,0.036956790128555295,1.15,TCP_Congestion_8_range10-flw0-rtt,T,T
25,0.07875636434042621,0.3314386314758295,0.0647047834110999,0.41178739062148517,TCP_Congestion_8_range10-flw1-rtt,T,T
26,0.09184164888003142,1.4483605851954764,0.08824380385474799,0.3326860740936245,TCP_Congestion_8_range10-flw2-rtt,T,T
