Time	size	received	dropped
1	0	38	0
2	0	508	0
3	0	1150	0
4	0	1808	0
5	0	2476	0
6	0	3185	0
7	0	3664	0
8	0	4052	0
9	0	4493	0
10	0	4969	0
11	0	5482	0
12	0	6041	0
13	0	6628	0
14	0	7276	0
15	0	7932	0
16	0	8652	0
17	0	9287	0
18	0	9669	0
19	0	10090	0
20	0	10544	0
21	0	11056	0
22	0	11578	0
23	0	12166	0
24	0	12776	0
25	0	13437	0
26	0	14130	0
27	0	14850	0
28	0	15304	0
29	0	15698	0
30	0	16147	0
