Time	size	received	dropped
1	2	1418	0
2	40	4297	0
3	25	7213	0
4	40	10115	0
5	40	12978	0
6	30	15877	0
7	40	18771	0
8	40	21605	0
9	40	24519	0
10	40	27394	0
11	40	30265	0
12	40	33170	0
13	40	36032	0
14	21	38922	0
15	40	41834	0
16	40	44685	0
17	29	47558	0
18	40	50456	0
19	40	53297	0
20	32	56217	0
21	40	59104	0
22	18	61951	0
23	38	64866	0
24	40	67737	0
25	40	70602	0
26	40	73515	0
27	40	76372	0
28	24	79233	0
29	40	82138	0
30	40	84985	0
