Time	size	received	dropped
1	2	490	0
2	0	1120	0
3	0	1584	0
4	1	2143	0
5	0	2694	0
6	0	3154	0
7	0	3776	0
8	0	4266	0
9	0	4799	0
10	0	5483	0
11	0	5971	0
12	0	6541	0
13	1	7157	0
14	0	7617	0
15	0	8240	0
16	0	8724	0
17	0	9246	0
18	0	9870	0
19	0	10304	0
20	0	10898	0
21	0	11398	0
22	0	11894	0
23	0	12537	0
24	0	12942	0
25	0	13517	0
26	0	14030	0
27	0	14559	0
28	0	15158	0
29	0	15569	0
30	0	16155	0
